time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/n_updates
2048,702.15,4,400.0,507,1,,,,,,,,,,
4096,1218.021,8,400.0,475,2,-0.6887765185907483,0.005320788,-0.0031221738368913065,9671.071900939942,0.0138671875,0.0003,0.2,-0.0038700103759765625,3830.86572265625,10
6144,1254.118,12,400.0,475,3,-0.6918339958414436,0.009739,-0.011332098454295192,4353.937084197998,0.11044921875,0.0003,0.2,0.06568431854248047,1408.9681396484375,20
8192,1439.587,17,400.0,481,4,-0.6917513674125075,0.0038016862,-0.001030630141030997,5008.296634674072,0.0,0.0003,0.2,0.03890430927276611,2664.154296875,30
10240,1336.5764,21,400.0,479,5,-0.6871871586889029,0.008069805,-0.012330402918451,5610.105319213867,0.130517578125,0.0003,0.2,0.003474891185760498,2498.92041015625,40
12288,1385.7176666666667,26,400.0,465,6,-0.6859005384147168,0.004895049,-0.003305389724846464,7405.741348266602,0.026123046875,0.0003,0.2,0.048461198806762695,3322.766357421875,50
14336,1238.6637142857144,31,400.0,451,7,-0.6787133473902941,0.008210106,-0.005460582613886799,3862.0234771728515,0.067041015625,0.0003,0.2,0.3913538455963135,1557.7630615234375,60
16384,1280.0185000000001,36,400.0,453,8,-0.675273821875453,0.0018115031,-0.000889189331792295,11473.201390075683,0.0,0.0003,0.2,0.4029041528701782,6826.9892578125,70
18432,1191.0652173913043,40,400.0,454,9,-0.6744503326714039,0.0014246287,6.376379824359901e-05,5782.286549377442,0.0,0.0003,0.2,0.5661144852638245,1706.6405029296875,80
20480,1245.8592156862746,44,400.0,455,10,-0.667681391350925,0.0048409216,-0.0006988702662056312,5126.714939117432,0.015185546875,0.0003,0.2,0.5968603789806366,1882.236328125,90
22528,1306.9735714285712,49,400.0,456,11,-0.6481057913973928,0.0015023043,-0.0007727373180387076,5641.997992706299,0.0,0.0003,0.2,0.5826275050640106,2537.733154296875,100
24576,1308.402295081967,53,400.0,457,12,-0.6202121013775468,0.007584144,-0.003972620799322613,5776.4579055786135,0.004345703125,0.0003,0.2,0.4619332551956177,2740.84228515625,110
26624,1326.3289393939394,58,400.0,453,13,-0.6168075146153569,0.0030623188,-0.0038276541810773777,6225.5936630249025,0.02373046875,0.0003,0.2,0.5916876494884491,3107.158935546875,120
28672,1289.323943661972,63,400.0,450,14,-0.5990279637277126,0.0033522178,-0.006938475235074293,7103.368298339844,0.016748046875,0.0003,0.2,0.6102860569953918,4208.77392578125,130
30720,1333.2336842105265,68,400.0,451,15,-0.594485387019813,0.0019462483,-0.000987254512438085,5065.202583312988,0.001513671875,0.0003,0.2,0.7090295553207397,2490.934326171875,140
32768,1343.3791358024691,72,400.0,452,16,-0.5383083548396825,0.0093258545,-0.006185186462244019,5863.721752929688,0.0853515625,0.0003,0.2,0.5201700031757355,2443.848876953125,150
34816,1366.2532183908045,76,400.0,453,17,-0.546776837296784,0.002326182,-0.0018720857849984895,5760.817010498047,0.008837890625,0.0003,0.2,0.6514139473438263,2641.800048828125,160
36864,1401.7839130434784,81,400.0,453,18,-0.5171161520294845,0.0008547808,4.694778908742592e-05,5399.601894378662,0.00126953125,0.0003,0.2,0.7280897498130798,2335.3916015625,170
38912,1435.7619587628863,85,400.0,453,19,-0.501073526032269,0.0017442871,0.0002834315208019689,5662.305389404297,0.022412109375,0.0003,0.2,0.6723519265651703,2551.73828125,180
40960,1473.3061000000005,90,400.0,452,20,-0.4881470280699432,0.0030986671,-0.001646023482317105,5595.712947082519,0.0373046875,0.0003,0.2,0.581289142370224,2277.82470703125,190
43008,1501.8297999999998,94,400.0,453,21,-0.5239583648741245,0.004682553,-0.005023890463053249,4907.151795959473,0.030078125,0.0003,0.2,0.6204560697078705,2485.309326171875,200
45056,1528.1783999999998,99,400.0,452,22,-0.5151944257318973,0.00024480448,7.30978834326379e-05,5588.830589294434,0.003173828125,0.0003,0.2,0.6854828894138336,2517.34033203125,210
47104,1531.7593000000002,103,400.0,453,23,-0.4987369000911713,0.002459609,-0.0013448999103275127,5503.471620178223,0.0013671875,0.0003,0.2,0.6162737309932709,2393.93408203125,220
49152,1553.0880999999997,108,400.0,453,24,-0.45873841606080534,0.005187233,-0.0017696835806418677,5438.0233375549315,0.032568359375,0.0003,0.2,0.661474734544754,2978.358642578125,230
51200,1569.9767999999997,112,400.0,453,25,-0.477990182582289,0.002398027,-0.0015766234762850217,4361.885467529297,0.00849609375,0.0003,0.2,0.7753292620182037,2677.056396484375,240
