time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss
1,-407.25,541,3,2048,400.0,,,,,,,,,,
2,-909.5,463,8,4096,400.0,10,0.05830078125,919.8604736328125,-0.0020377635955810547,3078.441371202469,0.006722546,-0.687167508341372,0.2,0.0003,-0.00042320894135627896
3,-821.9,459,13,6144,400.0,20,0.0,5168.70068359375,0.025523483753204346,22502.55187950134,0.0013300276,-0.6889659378677606,0.2,0.0003,-0.0013883535357308574
4,-682.5625,446,18,8192,400.0,30,0.0,2154.40234375,0.047744929790496826,5835.375851821899,0.00025754745,-0.691167464479804,0.2,0.0003,2.2262228958425113e-05
5,-595.32,442,23,10240,400.0,40,0.01044921875,397.4917297363281,0.10562705993652344,1177.80826048851,0.0031809113,-0.6882334221154451,0.2,0.0003,-0.0032996659254422413
6,-513.95,439,27,12288,400.0,50,0.018359375,594.5078125,0.13553732633590698,1253.151840686798,0.004109828,-0.6903961708769202,0.2,0.0003,-0.006830180795805063
7,-438.85714285714283,439,32,14336,400.0,60,0.089404296875,39.3222770690918,0.26290714740753174,81.95998381376266,0.013922943,-0.6813496196642518,0.2,0.0003,-0.012059258176304866
8,-490.775,441,37,16384,400.0,70,0.097998046875,105.55840301513672,0.29267215728759766,276.7902576804161,0.01106675,-0.6444932140409947,0.2,0.0003,-0.005972438962635352
9,-418.35869565217394,442,41,18432,400.0,80,0.037646484375,3841.5595703125,0.16192114353179932,5596.330847549439,0.0044040093,-0.6481810308992862,0.2,0.0003,-0.004458830798103009
10,-403.0882352941176,446,45,20480,400.0,90,0.1017578125,34.766075134277344,0.11257553100585938,70.63744722604751,0.009843441,-0.5827426359057426,0.2,0.0003,-0.011181789945112541
